date_consumption,general_power_supply,pred_general_power_supply
1/27/2013,138945.494,148804.5625
1/28/2013,139896.392,149277.4219
1/29/2013,129505.406,139091.5781
1/30/2013,125581.33,134183.875
1/31/2013,154634.271,121015.125
2/1/2013,131982.442,168766.6563
2/2/2013,127340.772,143082.625
2/3/2013,126181.315,137724.5469
2/4/2013,119278.699,129933.5625
2/5/2013,119524.697,115787.625
2/6/2013,124276.011,125284.3984
2/7/2013,129600.121,133083.3281
2/8/2013,146770.71,135006.1563
2/9/2013,169365.177,143769.4375
2/10/2013,174997.123,148020.2813
2/11/2013,127350.009,151625.2969
2/12/2013,125057.434,122318.9453
2/13/2013,123805.252,132847.1563
2/14/2013,125505.635,128434.3281
2/15/2013,125283.329,126488.3672
2/16/2013,135665.545,132458.8125
2/17/2013,137588.693,166738.6563
2/18/2013,131613.491,147699.6563
2/19/2013,139392.383,127233.4531
2/20/2013,142098.985,129314.1406
2/21/2013,138168.681,142181.7969
2/22/2013,131960.959,141876.2969
2/23/2013,145209.953,133553.9219
2/24/2013,174063.689,137009.3125
2/25/2013,170709.449,172343.25
2/26/2013,150449.141,147718.5156
2/27/2013,155531.777,142294.1406
2/28/2013,146817.047,144364.4063
3/1/2013,137311.236,146071.5469
3/2/2013,146357.007,130590.7344
3/3/2013,146372.991,145096.5781
3/4/2013,136105.095,145246.0938
3/5/2013,136352.648,137987.2031
3/6/2013,140075.467,133761.375
3/7/2013,141250.409,147027.0313
3/8/2013,139062.816,146118.5938
3/9/2013,147966.49,146118.5938
3/10/2013,154693.661,153163.0625
3/11/2013,148338.515,149022.5
3/12/2013,144001.899,147966.7969
3/13/2013,144073.383,136660.6719
3/14/2013,141513.334,133519.2656
3/15/2013,140226.167,131289.4063
3/16/2013,157215.582,137054.4375
3/17/2013,146276.64,161581.3594
3/18/2013,133768.159,147629.1719
3/19/2013,132305.142,143366.4375
3/20/2013,134505.454,124965.6484
3/21/2013,138532.571,132710.3906
3/22/2013,156712.946,143867.5156
3/23/2013,174739.147,150844.6563
3/24/2013,190281.014,160597.4531
3/25/2013,161078.216,151373.5313
3/26/2013,161590.047,127475.7734
3/27/2013,172743.502,157148.6094
3/28/2013,176868.691,178924.2344
3/29/2013,145564.468,163225.6094
