date_solar,Air Temperature,Wind Speed at 3m,DHI,DHI Uncertainty,DNI,DNI Uncertainty,GHI,GHI Uncertainty,Relative Humidity,Relative Humidity Uncertainty,Barometric Pressure,Barometric Pressure Uncertainty,power_out_kwh,pred_power_out_kwh
2016-07-01,24.8,2.7,1967,172.2,6072.6,510.9,5973.3,395.9,41.8,3,1009.4,5.1,358.025,358.35086
2017-01-01,25.5,2.9,2193.3,213.3,7355.4,558.8,7474.3,451.3,39.4,3,1009.4,5.1,321.346,321.2798
2017-04-01,30.6,2.6,2004.7,225.9,8290.3,576.7,8090.9,477.3,49.2,3,1004.1,5,254.887,255.02646
2017-10-01,22.2,2.5,1144.8,127.1,7722.4,524.9,5492.1,354.7,38.3,3,1013.7,5.1,367.621,368.85272
2013-12-01,32.2,2.2,1431,112,8847.1,590.3,7826.5,498.3,60.6,3,1000.7,5,207.777,207.85315
2015-02-01,32.3,2.2,1908.9,180.9,7056.7,513.2,7013.3,439.1,60.9,3,1001.8,5,242.391,242.24802
2015-04-01,31.2,2,1849.7,212.4,8097.8,636,7742.1,537.9,56.6,3,1001.7,5,181.278,182.78615
2015-10-01,22,6,2047.4,201.2,5264.2,540.4,5518.5,424.4,48.3,3,1010.1,5.1,488.917,489.889
2016-05-01,29.3,7.4,1247.1,124.8,8099.9,542.7,6590.8,413.4,54.5,3,1007,5.1,468.836,468.20236
2016-10-01,26.5,6.6,1223.6,131.8,7001.4,490.6,5311.6,346.6,52.5,3,1010.5,5.1,485.706,484.82187
2018-05-01,27.9,5.9,2109.5,228.1,7802,581,7826.4,472.5,44.6,3,1007.2,5.1,432.03,431.9774
2013-12-01,28.3,6.3,1685.9,138.2,5294.6,418.7,4903.1,327.4,58.7,3,1009.1,5.1,482.582,480.24136
2014-02-01,22.4,6.5,1929.7,183,5859.4,523.9,5708.8,401.4,47.4,3,1011,5.1,491.585,492.4487
2014-04-01,31.7,6.4,1290.5,97.7,9244.5,588.9,7935.9,491.8,51.6,3,1002.1,5,428.321,428.4449
2014-06-01,16.9,6.9,1209.4,377.4,4966.8,1407.7,3583.5,854.5,50.7,3,1015.9,5.1,542.702,540.14844
2014-11-01,24.9,6.7,2098.2,676.9,6201.1,1830.3,6497.3,1427.8,47.1,3,1010,5.1,475.123,475.3085
2016-01-01,26.5,6.7,1177.5,102.5,7072,483.8,5308.3,333.8,57.8,3,1010.4,5,486.887,485.62204
2016-02-01,12.4,2.2,1212.6,123.5,5450.9,478.5,3754.8,264.4,42.3,3,930.2,4.7,444.581,443.8886
2016-05-01,15,3.2,1698,99.3,5806.3,238.1,4984,186,33.8,3,926.7,4.6,450.55,451.4968
2015-03-01,21.5,3,2040.8,103.5,7860.1,398,7635.8,416.3,20.6,3,926.6,4.7,336.888,335.28107
2015-04-01,25.9,2.4,1586.5,70.3,6286.8,260.4,5370.2,204.2,33.8,3,926.8,4.6,352.199,351.20285
2016-09-01,27.3,3,2059.7,102.7,8255.7,269.3,8055.9,232.9,17.5,3,925,4.6,305.516,304.5107
2015-06-01,24.6,2.5,1342.1,52.7,6956.8,224.4,5486.8,165,27.4,3,926.9,4.6,360.315,359.37997
2016-11-01,28.1,3.1,2752.3,139.4,6270.7,311.8,7448.6,301.5,18.8,3,923.8,4.6,329.709,329.3447
2018-05-01,23.2,3.4,1148.1,152.7,5884.3,609.3,4103.1,368.9,46.7,3,1015.3,5.1,458.042,458.6733
2014-10-01,23.2,3.6,1366.8,128.5,6968.9,524.7,5496.7,347.3,50.9,3,1012.7,5.1,427.799,427.72314
2015-04-01,27.8,3,2538.7,227.5,5531.9,511.4,6636.1,455.5,58.3,3,1009.2,5.1,348.671,350.00626
2015-08-01,31.1,3.5,2233.1,261.7,7430.8,579,7803.3,503.2,57.8,3,1005.3,5,336.698,337.8904
2016-05-01,26,3,1120.2,111.3,6547,479.8,4683.2,302.2,52.8,3,1013,5.1,415.81,416.3914
2016-08-01,20.7,3.3,1491.7,145.2,5658.4,475.2,4483.7,302,51,3,1016.8,5.1,451.507,451.73257
2016-02-01,22.9,3.1,1433.6,141.1,6989.6,505.5,5583.6,354.4,53.1,3,1015.3,5,402.819,403.8483
2016-09-01,29.7,3.2,2111.6,182.2,7681.8,556.2,7835.1,475.6,59,3,1007.9,5,320.388,321.5289
2016-10-01,30.8,3.3,2052.1,173.5,6100.5,466.9,6385,462.9,68.4,3,1006.1,5,365.479,366.50333
2017-01-01,27.2,2.7,1263.8,120.1,6244,467.1,4710.3,307.6,50.3,3,1013.3,5.1,394.719,395.58124
2017-11-01,31.4,2.8,3193,256,4945.1,505.7,7035.2,465.6,51.6,3,1006.2,5,309.014,310.31747
2016-07-01,25.9,2.1,1616.2,163.8,6482.4,498.4,5478.9,356.4,25.4,3,919,4.6,317.104,315.64188
2016-08-01,23.3,2.9,2871.2,288.9,6728.4,589.9,7703.8,468.3,18.8,3,918.5,4.6,320.749,320.53812
2018-04-01,35.8,2.4,2650.1,238.6,6389.2,526.5,7397.3,453.3,14.8,3,914.9,4.6,241.428,241.45703
2018-05-01,29.2,2.8,2236.7,213.6,8277.1,610.6,8294.1,504.9,17.6,3,917.1,4.6,273.412,272.35007
2015-01-01,35.3,2.3,2052.9,168.1,7524.4,542.5,7546.7,461.3,17.1,3,913.7,4.6,224.192,224.0124
2015-02-01,31.7,2.2,1732.7,144.4,7630.9,561,6895,498.9,19.2,3,916.2,4.6,249.349,247.64253
2017-03-01,27,1.9,1603.9,131,6554.7,476.1,5603.9,367.8,19.8,3,918.8,4.6,281.498,281.23138
