date_wind,wind_speed,wind_dir_cos,wind_dir_sin,air_den,y_true,y_pred
0,0.076600442,0.15425145,-0.988031624,1.228,8059.224,8025.187
1,0.046357616,0.15425145,-0.988031624,1.215,1767.172,1780.3036
2,0.181015453,-0.883877473,0.467718518,1.169,101209.792,100546.14
3,0,-0.445154962,0.89545355,1.219,0,0
4,0.046357616,-0.991198822,-0.132381629,1.174,1708.086,1724.979
5,0.101545254,0.325781306,0.945445155,1.188,18161.641,18088.756
6,0,-0.445154962,0.89545355,1.263,0,0
7,0,-0.445154962,0.89545355,1.212,0,0
8,0.079470199,0.633319203,0.773890682,1.178,8632.41,8585.0625
9,0.046357616,-0.975629313,0.219425258,1.185,1723.028,1740.0791
10,0.057395143,-0.991198822,-0.132381629,1.152,3180.293,3200.8176
11,0,-0.445154962,0.89545355,1.158,0,0
12,0,-0.445154962,0.89545355,1.285,0,0
13,0.033112583,0.862318872,-0.506365641,1.224,648.584,658.4704
14,0.090507726,0.240988305,-0.97052802,1.138,12314.136,12283.562
15,0.033112583,0.984381951,-0.176045946,1.2,636.152,647.1473
16,0.090507726,-0.283633279,-0.958932825,1.169,12652.008,12648.262
17,0,-0.445154962,0.89545355,1.203,0,0
18,0.169977925,-0.730194157,0.683239704,1.218,87351.967,87354.4
19,0.033112583,0.15425145,-0.988031624,1.237,655.466,672.93243
20,0.068432671,0.240988305,-0.97052802,1.234,5775.119,5735.503
21,0,-0.445154962,0.89545355,1.223,0,0
22,0.068432671,-0.730194157,0.683239704,1.139,5329.583,5342.772
23,0.079470199,-0.839071529,-0.544021111,1.145,8391.431,8372.951
24,0.306843267,0.066306858,0.997799279,1.15,485238.798,485820.75
25,0.033112583,-0.92173958,-0.387809421,1.205,638.709,658.9493
26,0.181015453,0.562428927,0.826845634,1.253,108470.769,108941.55
27,0.057395143,0.75966831,0.65031074,1.182,3261.498,3259.075
28,0.136865342,-0.787695942,-0.616064204,1.134,42446.174,42987.707
29,0.033112583,-0.666938062,0.74511316,1.205,638.709,654.92053
30,0.068432671,-0.022096619,-0.99975584,1.115,5216.994,5188.395
31,0.022075055,0.903705112,-0.428155428,1.172,184.114,0
32,0.068432671,-0.991198822,-0.132381629,1.11,5195.173,5197.9854
33,0.076600442,-0.445154962,0.89545355,1.194,7837.668,7830.3496
34,0.101545254,0.984381951,-0.176045946,1.155,17660.765,17635.906
35,0.046357616,-0.730194157,0.683239704,1.195,1737.342,1753.3264
36,0.090507726,-0.883877473,0.467718518,1.23,13313.789,13341.317
37,0.057395143,-0.730194157,0.683239704,1.222,3373.436,3395.184
38,0.068432671,0.903705112,-0.428155428,1.181,5525.494,5488.5327
